GA 30-612
1.0000 0.00000
0.9500 0.01106
0.9000 0.02213
0.8500 0.03319
0.8000 0.04424
0.7500 0.05532
0.7000 0.06605
0.6500 0.07587
0.6000 0.08447
0.5500 0.09171
0.5000 0.09734
0.4500 0.10094
0.4000 0.10270
0.3500 0.10281
0.3000 0.10106
0.2500 0.09728
0.2000 0.09110
0.1500 0.08189
0.1000 0.06860
0.0750 0.05982
0.0500 0.04877
0.0250 0.03391
0.0125 0.02335
0.0075 0.01776
0.0050 0.01429
0.0025 0.00984
0.0000 0.00000
0.0025 -0.00760
0.0050 -0.01015
0.0075 -0.01194
0.0125 -0.01453
0.0250 -0.01837
0.0500 -0.02231
0.0750 -0.02418
0.1000 -0.02504
0.1500 -0.02501
0.2000 -0.02366
0.2500 -0.02156
0.3000 -0.01898
0.3500 -0.01623
0.4000 -0.01354
0.4500 -0.01106
0.5000 -0.00914
0.5500 -0.00813
0.6000 -0.00761
0.6500 -0.00717
0.7000 -0.00659
0.7500 -0.00576
0.8000 -0.00460
0.8500 -0.00345
0.9000 -0.00231
0.9500 -0.00114
1.0000 0.00000
